swatch,axis,angle_deg,tx,rx,range_m,power_db,delta_power_db_vs_baseline,phase_deg,phase_shift_vs_baseline_deg,snr_db,n_repeats,n_loops_total,coherence_within_file,coherence_across_repeats
petg_stock_1,boresight,0.0,2,2,1.78,70.07,0.46,-70.71,82.37,-12.44,3,1080,0.47,0.9998
petg_stock_1,boresight,0.0,2,3,1.78,68.74,-5.66,102.29,-109.0,-12.44,3,1080,0.4475,0.8759
petg_stock_1_run_2,boresight,0.0,0,0,1.78,51.6,-19.39,-11.32,126.97,-15.43,3,1080,0.158,0.4877
petg_stock_1_run_2,boresight,0.0,0,1,1.78,56.25,-17.4,124.41,-101.6,-15.43,3,1080,0.2421,0.4431
petg_stock_1_run_2,boresight,0.0,0,2,1.78,69.71,-2.2,70.44,-148.04,-15.43,3,1080,0.4755,0.8974
petg_stock_1_run_2,boresight,0.0,0,3,1.78,63.82,-9.66,-60.02,76.14,-15.43,3,1080,0.3497,0.8029
petg_stock_1_run_2,boresight,0.0,1,0,1.78,60.43,-13.81,16.99,148.78,-15.43,3,1080,0.273,0.6457
petg_stock_1_run_2,boresight,0.0,1,1,1.78,61.14,-12.54,59.74,-153.03,-15.43,3,1080,0.3451,0.6211
petg_stock_1_run_2,boresight,0.0,1,2,1.78,63.79,-7.23,39.65,-176.09,-15.43,3,1080,0.2831,0.8271
petg_stock_1_run_2,boresight,0.0,1,3,1.78,63.31,-12.63,66.46,-158.38,-15.43,3,1080,0.3798,0.669
petg_stock_1_run_2,boresight,0.0,2,0,1.78,66.53,-5.06,29.55,167.73,-15.43,3,1080,0.4042,0.9466
petg_stock_1_run_2,boresight,0.0,2,1,1.78,66.32,-2.82,-57.1,110.18,-15.43,3,1080,0.3393,0.9057
petg_stock_1_run_2,boresight,0.0,2,2,1.78,63.17,-6.44,-108.44,44.64,-15.43,3,1080,0.3162,0.7125
petg_stock_1_run_2,boresight,0.0,2,3,1.78,60.7,-13.7,75.15,-136.14,-15.43,3,1080,0.2884,0.5835
petg_stock_2,boresight,0.0,0,0,1.78,57.16,-13.83,-0.57,137.73,-18.02,3,1080,0.1901,0.7867
petg_stock_2,boresight,0.0,0,1,1.78,65.55,-8.1,-85.17,48.82,-18.02,3,1080,0.3783,0.9588
petg_stock_2,boresight,0.0,0,2,1.78,60.89,-11.02,133.82,-84.65,-18.02,3,1080,0.2572,0.8011
petg_stock_2,boresight,0.0,0,3,1.78,62.47,-11.01,13.76,149.92,-18.02,3,1080,0.2763,0.8811
petg_stock_2,boresight,0.0,1,0,1.78,61.03,-13.21,-83.78,48.0,-18.02,3,1080,0.2918,0.841
petg_stock_2,boresight,0.0,1,1,1.78,58.23,-15.45,130.29,-82.49,-18.02,3,1080,0.2173,0.7608
petg_stock_2,boresight,0.0,1,2,1.78,60.53,-10.5,45.93,-169.82,-18.02,3,1080,0.2785,0.684
petg_stock_2,boresight,0.0,1,3,1.78,58.88,-17.06,-78.32,56.83,-18.02,3,1080,0.2621,0.7162
petg_stock_2,boresight,0.0,2,0,1.78,61.06,-10.53,120.84,-100.98,-18.02,3,1080,0.2646,0.7811
petg_stock_2,boresight,0.0,2,1,1.78,64.0,-5.13,16.26,-176.46,-18.02,3,1080,0.3321,0.9675
petg_stock_2,boresight,0.0,2,2,1.78,59.79,-9.82,-79.54,73.55,-18.02,3,1080,0.2948,0.6128
petg_stock_2,boresight,0.0,2,3,1.78,58.38,-16.03,176.35,-34.94,-18.02,3,1080,0.2408,0.7731
petg_stock_2_run_2,boresight,0.0,0,0,1.78,65.84,-5.15,-9.61,128.68,-10.13,3,1080,0.2899,0.9264
petg_stock_2_run_2,boresight,0.0,0,1,1.78,64.85,-8.81,-144.4,-10.41,-10.13,3,1080,0.3065,0.8331
petg_stock_2_run_2,boresight,0.0,0,2,1.78,47.21,-24.69,26.08,167.61,-10.13,3,1080,0.3637,0.0949
petg_stock_2_run_2,boresight,0.0,0,3,1.78,62.21,-11.27,-153.05,-16.89,-10.13,3,1080,0.2571,0.7973
petg_stock_2_run_2,boresight,0.0,1,0,1.78,66.5,-7.74,-29.92,101.87,-10.13,3,1080,0.3708,0.9689
petg_stock_2_run_2,boresight,0.0,1,1,1.78,69.54,-4.14,-153.25,-6.02,-10.13,3,1080,0.3824,0.9813
petg_stock_2_run_2,boresight,0.0,1,2,1.78,65.25,-5.78,96.53,-119.21,-10.13,3,1080,0.4059,0.6799
petg_stock_2_run_2,boresight,0.0,1,3,1.78,66.1,-9.83,-58.4,76.75,-10.13,3,1080,0.4627,0.6652
petg_stock_2_run_2,boresight,0.0,2,0,1.78,65.56,-6.03,-65.92,72.27,-10.13,3,1080,0.4667,0.5901
petg_stock_2_run_2,boresight,0.0,2,1,1.78,66.32,-2.82,91.74,-100.98,-10.13,3,1080,0.399,0.7578
petg_stock_2_run_2,boresight,0.0,2,2,1.78,71.32,1.71,-48.66,104.42,-10.13,3,1080,0.5173,0.9572
petg_stock_2_run_2,boresight,0.0,2,3,1.78,71.45,-2.95,-160.35,-11.64,-10.13,3,1080,0.5826,0.9922
